"fld_dim","sim","fit_model","job"
200,88,"MGCV FIXED",751
300,88,"MGCV FIXED",752
50,89,"MGCV FIXED",753
100,89,"MGCV FIXED",754
200,89,"MGCV FIXED",755
300,89,"MGCV FIXED",756
50,90,"MGCV FIXED",757
100,90,"MGCV FIXED",758
200,90,"MGCV FIXED",759
300,90,"MGCV FIXED",760
50,91,"MGCV FIXED",761
100,91,"MGCV FIXED",762
200,91,"MGCV FIXED",763
300,91,"MGCV FIXED",764
50,92,"MGCV FIXED",765
100,92,"MGCV FIXED",766
200,92,"MGCV FIXED",767
300,92,"MGCV FIXED",768
50,93,"MGCV FIXED",769
100,93,"MGCV FIXED",770
